month,year,day,lat,long
10,1976,07,37.86667,27.51667
10,1976,19,-19.48333,31.65
10,1976,21,27.66667,95.78333
10,1977,01,12.83333,9.38333
10,1977,19,32.21667,-104
10,1977,22,9.5,31.75
10,1978,00,-3.13333,33.51667
10,1978,20,-29.45,26.76667
10,1978,23,45.21667,62.08333
10,1979,16,23.05,86.7
10,1979,19,20.96667,76.1
10,1979,21,-17.65,31.6
10,1979,21,45.81667,44.63333
10,1979,21,34.23333,72.08333
10,1979,23,42.71667,-99.38333
10,1980,01,54.76183,11.46745
10,1980,20,4.66667,29.25
10,1980,21,-22.25,-49.93333
10,1980,22,41.9,-91.6
10,1981,20,61.5,30.5
10,1981,20,44.5,0.15
10,1982,22,-14.2,48.1
10,1983,17,35.8,-84.1
10,1983,20,45.36667,1.86667
10,1983,20,48.13333,12.61667
10,1983,21,-20,57
10,1984,01,8.96667,12.08333
10,1984,20,24.68333,-101.68333
10,1984,21,-1.21667,30
10,1985,00,1.06667,34.16667
10,1985,05,-27.25,-67.5
10,1985,05,29.01667,77.8
10,1985,21,-6.23333,106.88333
10,1985,21,53.18333,13.15
10,1985,22,46.81867,7.21817
10,1986,01,55.05,12.06667
10,1986,22,0,37.66667
10,1986,22,25.48333,81.98333
10,1987,01,38.18333,15.56667
10,1987,19,50.58333,11.1
10,1987,20,45.76667,3.25
10,1987,21,46.5,25.73333
10,1987,23,25.9,83.61667
10,1989,16,34.8,111.7
10,1989,18,54.56667,-1.16667
10,1989,20,42.9075,-90.36556
10,1989,20,48.06667,30.96667
10,1989,21,35.56833,133.22
10,1989,21,46.23333,17.53333
10,1990,17,46.18333,16.1
10,1990,20,-26.45,120.36667
10,1990,22,35.4,-92.05
10,1991,14,37.28333,14.7
10,1991,17,32.33333,120.66667
10,1991,18,47.7,16.6
10,1991,18,25.68333,83.25
10,1991,20,56.66667,23
10,1991,21,61.73333,5.93333
10,1991,22,46.8,24.03333
10,1992,01,38.5,-101.1
10,1992,17,-39.63333,174.4
10,1992,18,38.11667,-1.16667
10,1992,19,-31.25,26.46667
10,1993,02,31.60833,-102.85833
10,1993,20,35.25,-80.5
10,1993,20,38.01667,-8.25
10,1994,11,43.26667,13.35
10,1994,13,43.39056,1.9625
10,1994,17,47.63333,1.58333
10,1994,20,35.41667,-79.38333
10,1994,20,52.45,-8.33333
10,1994,21,-40.975,145.6
10,1994,23,28.78333,78.83333
10,1994,23,49.6,18.53333
10,1995,12,44.6,5.13333
10,1995,14,59.43333,10.7
10,1995,16,26.83333,77.33333
10,1995,17,45.2,8.5
10,1995,18,-29.8,141.7
10,1995,21,18.7,4.8
10,1995,22,-11.5,33.5
10,1995,22,12.63333,77.01667
10,1995,22,24.5,90.21667
10,1995,23,-36.61667,145.2
10,1996,01,36.6,-88.1
10,1996,01,26.13333,85.53333
10,1996,05,12,1
10,1996,08,38.12167,140.06167
10,1996,17,26.98333,78.21667
10,1996,18,49.16667,19.5
10,1996,22,31.31667,30.35
10,1997,00,13.73333,100.08333
10,1997,01,12.28333,79.2
10,1997,03,35.66667,103.5
10,1997,08,38.41667,-77.16667
10,1997,09,32.11667,121.8
10,1997,19,19.25,77
10,1997,19,33.75,51.5
10,1997,21,-34.05,150.68889
10,1997,21,-21.73333,165.9
10,1997,21,21.25,83.66667
10,1997,21,36.44917,136.46528
10,1997,22,18.68333,83.48333
10,1997,23,9.5,35.33333
10,1998,00,56.5,21.5
10,1998,00,47.525,10.80833
10,1998,01,40,-81.76667
10,1998,02,15.36667,35.68333
10,1998,04,29.94718,-90.10976
10,1998,05,-7.45,111.41667
10,1998,10,13.85,-4.38333
10,1998,13,52.45,78.63333
10,1998,16,56.11667,37.33333
10,1998,18,29.86667,121.48333
10,1998,18,32.925,105.90667
10,1998,21,34.2,131.56667
10,1998,21,-28.56667,30.7
10,1998,21,44.08333,-69.48333
10,1998,21,40.08528,-86.055
10,1998,23,-32.36667,-59.83333
10,1999,00,36.21667,-92.26667
